Iteration 542, Best Fitness: 1.3393
Iteration 543, Best Fitness: 1.3393
Iteration 544, Best Fitness: 1.3393
Iteration 545, Best Fitness: 1.3393
Iteration 546, Best Fitness: 1.3393
Iteration 547, Best Fitness: 1.3393
Iteration 548, Best Fitness: 1.3393
Iteration 549, Best Fitness: 1.3393
Iteration 550, Best Fitness: 1.3393
Iteration 551, Best Fitness: 1.3393
Iteration 552, Best Fitness: 1.3393
Iteration 553, Best Fitness: 1.3393
Iteration 554, Best Fitness: 1.3393
Iteration 555, Best Fitness: 1.3393
Iteration 556, Best Fitness: 1.3393
Iteration 557, Best Fitness: 1.3393
Iteration 558, Best Fitness: 1.3393
Iteration 559, Best Fitness: 1.3393
Iteration 560, Best Fitness: 1.3393
Iteration 561, Best Fitness: 1.3393
Iteration 562, Best Fitness: 1.3393
Iteration 563, Best Fitness: 1.3393
Iteration 564, Best Fitness: 1.3393
Iteration 565, Best Fitness: 1.3393
Iteration 566, Best Fitness: 1.3393
Iteration 567, Best Fitness: 1.3393
Iteration 568, Best Fitness: 1.3393
Iteration 569, Best Fitness: 1.3393
Iteration 570, Best Fitness: 1.3393
Iteration 571, Best Fitness: 1.3393
Iteration 572, Best Fitness: 1.3393
Iteration 573, Best Fitness: 1.3393
Iteration 574, Best Fitness: 1.3393
Iteration 575, Best Fitness: 1.3393
Iteration 576, Best Fitness: 1.3393
Iteration 577, Best Fitness: 1.3393
Iteration 578, Best Fitness: 1.3393
Iteration 579, Best Fitness: 1.3393
Iteration 580, Best Fitness: 1.3393
Iteration 581, Best Fitness: 1.3393
Iteration 582, Best Fitness: 1.3393
Iteration 583, Best Fitness: 1.3393
Iteration 584, Best Fitness: 1.3393
Iteration 585, Best Fitness: 1.3393
Iteration 586, Best Fitness: 1.3393
Iteration 587, Best Fitness: 1.3393
Iteration 588, Best Fitness: 1.3393
Iteration 589, Best Fitness: 1.3393
Iteration 590, Best Fitness: 1.3393
Iteration 591, Best Fitness: 1.3393
Iteration 592, Best Fitness: 1.3393
Iteration 593, Best Fitness: 1.3393
Iteration 594, Best Fitness: 1.3393
Iteration 595, Best Fitness: 1.3393
Iteration 596, Best Fitness: 1.3393
Iteration 597, Best Fitness: 1.3393
Iteration 598, Best Fitness: 1.3393
Iteration 599, Best Fitness: 1.3393
Iteration 600, Best Fitness: 1.3393
Iteration 601, Best Fitness: 1.3393
Iteration 602, Best Fitness: 1.3393
Iteration 603, Best Fitness: 1.3393
Iteration 604, Best Fitness: 1.3393
Iteration 605, Best Fitness: 1.3393
Iteration 606, Best Fitness: 1.3393
Iteration 607, Best Fitness: 1.3393
Iteration 608, Best Fitness: 1.3393
Iteration 609, Best Fitness: 1.3393
Iteration 610, Best Fitness: 1.3393
Iteration 611, Best Fitness: 1.3393
Iteration 612, Best Fitness: 1.3393
Iteration 613, Best Fitness: 1.3393
Iteration 614, Best Fitness: 1.3393
Iteration 615, Best Fitness: 1.3393
Iteration 616, Best Fitness: 1.3393
Iteration 617, Best Fitness: 1.3393
Iteration 618, Best Fitness: 1.3393
Iteration 619, Best Fitness: 1.3393
Iteration 620, Best Fitness: 1.3393
Iteration 621, Best Fitness: 1.3393
Iteration 622, Best Fitness: 1.3393
Iteration 623, Best Fitness: 1.3393
Iteration 624, Best Fitness: 1.3393
Iteration 625, Best Fitness: 1.3393
Iteration 626, Best Fitness: 1.3393
Iteration 627, Best Fitness: 1.3393
Iteration 628, Best Fitness: 1.3393
Iteration 629, Best Fitness: 1.3393
Iteration 630, Best Fitness: 1.3393
Iteration 631, Best Fitness: 1.3393
Iteration 632, Best Fitness: 1.3393
Iteration 633, Best Fitness: 1.3393
Iteration 634, Best Fitness: 1.3393
Iteration 635, Best Fitness: 1.3393
Iteration 636, Best Fitness: 1.3393
Iteration 637, Best Fitness: 1.3393
Iteration 638, Best Fitness: 1.3393
Iteration 639, Best Fitness: 1.3393
Iteration 640, Best Fitness: 1.3393
Iteration 641, Best Fitness: 1.3393
Iteration 642, Best Fitness: 1.3393
Iteration 643, Best Fitness: 1.3393
Iteration 644, Best Fitness: 1.3393
Iteration 645, Best Fitness: 1.3393
Iteration 646, Best Fitness: 1.3393
Iteration 647, Best Fitness: 1.3393
Iteration 648, Best Fitness: 1.3393
